Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.009733294436799045,1.1476354252679313,0.38548482040162446,0.0022854750277465285,-1.1476354252679313,0.38548482040162446
ENSMUSG00000102331,Gm19938,0.005989719653414796,-0.10475173636635393,1.0,0.004570950055493057,0.10475173636635393,1.0
ENSMUSG00000025902,Sox17,0.03069731322375083,-0.13910324115713113,1.0,0.0319966503884514,0.13910324115713113,1.0
ENSMUSG00000033845,Mrpl15,0.34777809737639664,0.38347010951645233,0.3480336473717836,0.26511510321859727,-0.38347010951645233,0.3480336473717836
ENSMUSG00000025903,Lypla1,0.301357770062432,0.058699264860264666,1.0,0.2879698534960626,-0.058699264860264666,1.0
ENSMUSG00000033813,Tcea1,0.5211056098470873,0.11562827699853107,0.9082839236603591,0.47994975582677096,-0.11562827699853107,0.9082839236603591
ENSMUSG00000002459,Rgs20,0.23060420665646966,0.4330559117580002,0.3185110447847943,0.1691251520532431,-0.4330559117580002,0.3185110447847943
ENSMUSG00000033793,Atp6v1h,1.4289224948177675,0.7483174902531632,0.009344683073352632,0.8501967103217085,-0.7483174902531632,0.009344683073352632
ENSMUSG00000025905,Oprk1,0.029574240788735558,0.7146760179918257,0.42518941312456565,0.0159983251942257,-0.7146760179918257,0.42518941312456565
ENSMUSG00000033774,Npbwr1,0.005615362175076371,1.392747923104463,0.4935541395127365,0.0,-1.392747923104463,0.4935541395127365
ENSMUSG00000025907,Rb1cc1,0.42377266547909687,0.3488555100449615,0.38355096701362157,0.33139387902324663,-0.3488555100449615,0.38355096701362157
ENSMUSG00000090031,4732440D04Rik,0.01010765191513747,-0.12182524972529496,1.0,0.009141900110986114,0.12182524972529496,1.0
ENSMUSG00000033740,St18,0.04305111000891885,-1.749271081767965,9.280953003197625e-05,0.1439849267480313,1.749271081767965,9.280953003197625e-05
ENSMUSG00000051285,Pcmtd1,0.5753874442061588,0.5449594834295651,0.10210359265837443,0.39310170477240286,-0.5449594834295651,0.10210359265837443
ENSMUSG00000097797,Gm26901,0.01010765191513747,0.6151403444409107,0.6905377035307441,0.004570950055493057,-0.6151403444409107,0.6905377035307441
ENSMUSG00000025909,Sntg1,0.05353311940239475,1.1032413059094779,0.06590083970733444,0.022854750277465283,-1.1032413059094779,0.06590083970733444
ENSMUSG00000061024,Rrs1,0.1811890195157976,0.6141491420378609,0.13896923982314796,0.11655922641507295,-0.6141491420378609,0.13896923982314796
ENSMUSG00000025911,Adhfe1,0.06813306105759331,-1.2000766953896638,0.0004086997629260493,0.15541230188676391,1.2000766953896638,0.0004086997629260493
ENSMUSG00000079671,2610203C22Rik,0.002994859826707398,-1.02228957617438,0.8739599586485381,0.004570950055493057,1.02228957617438,0.8739599586485381
ENSMUSG00000067879,Vxn,1.7475007088837669,2.2417957934620274,2.7449518444634473e-14,0.36796147946719104,-2.2417957934620274,2.7449518444634473e-14
ENSMUSG00000025912,Mybl1,0.023210163656982336,1.048099751717018,0.25662923348730443,0.009141900110986114,-1.048099751717018,0.25662923348730443
ENSMUSG00000045210,Vcpip1,0.38334205781854697,0.7794462733820633,0.01821288802179899,0.22169107769141325,-0.7794462733820633,0.01821288802179899
ENSMUSG00000097893,1700034P13Rik,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000025915,Sgk3,0.06813306105759331,-1.924442252776236,3.0756490965060364e-10,0.2582586781353577,1.924442252776236,3.0756490965060364e-10
ENSMUSG00000046101,Mcmdc2,0.00935893695846062,0.5082251405243987,0.8334562996258699,0.004570950055493057,-0.5082251405243987,0.8334562996258699
ENSMUSG00000098234,Snhg6,0.3503985997247656,0.0947281593213376,0.9749932354859315,0.32682292896775356,-0.0947281593213376,0.9749932354859315
ENSMUSG00000099032,Tcf24,0.0011230724350152744,-2.607252076895538,0.13691303677741012,0.006856425083239585,2.607252076895538,0.13691303677741012
ENSMUSG00000025916,Ppp1r42,0.004866647218399522,-1.9698221562802454,0.03359073343971285,0.018283800221972228,1.9698221562802454,0.03359073343971285
ENSMUSG00000025917,Cops5,0.6289205636085536,0.326492218815971,0.4012398340143312,0.5005190310764898,-0.326492218815971,0.4012398340143312
ENSMUSG00000056763,Cspp1,0.13327126228847921,-0.4673218157510619,0.20785167291229487,0.18283800221972227,0.4673218157510619,0.20785167291229487
ENSMUSG00000067851,Arfgef1,0.47468528253312264,0.42609987167133156,0.2545119093882298,0.3519631542729654,-0.42609987167133156,0.2545119093882298
ENSMUSG00000042501,Cpa6,0.0018717873916921238,-0.022289576174379988,1.0,0.0,0.022289576174379988,1.0
ENSMUSG00000048960,Prex2,0.13177383237512552,-0.8851946900255032,0.004857493899367372,0.24226035294113202,0.8851946900255032,0.004857493899367372
ENSMUSG00000057715,A830018L16Rik,0.46570070305300043,1.5661534932817371,6.081824221740889e-07,0.15541230188676391,-1.5661534932817371,6.081824221740889e-07
ENSMUSG00000016918,Sulf1,0.07636892558103865,-2.5571285974697004,2.794781859056555e-26,0.4502385804660661,2.5571285974697004,2.794781859056555e-26
ENSMUSG00000025938,Slco5a1,0.011230724350152743,0.34694423349133796,0.8604520177810824,0.006856425083239585,-0.34694423349133796,0.8604520177810824
ENSMUSG00000005886,Ncoa2,0.4286393126974964,0.3359707313992064,0.4238597989665253,0.3382503041064862,-0.3359707313992064,0.4238597989665253
ENSMUSG00000101476,Gm29570,0.0007487149566768495,-1.02228957617438,1.0,0.0,1.02228957617438,1.0
ENSMUSG00000025935,Tram1,0.19953253595438042,-0.8411768940996103,0.003990478271437684,0.35653410432845845,0.8411768940996103,0.003990478271437684
ENSMUSG00000025937,Lactb2,0.06139462644750166,-0.4503832282786706,0.38548482040162446,0.08227710099887502,0.4503832282786706,0.38548482040162446
ENSMUSG00000025932,Eya1,0.032194743137104534,0.02833649689558726,1.0,0.029711175360704868,-0.02833649689558726,1.0
ENSMUSG00000054493,Gm9947,0.0011230724350152744,-0.6072520768955378,1.0,0.0,0.6072520768955378,1.0
ENSMUSG00000025930,Msc,0.010856366871814318,-0.022289576174379988,1.0,0.009141900110986114,0.022289576174379988,1.0
ENSMUSG00000032769,Trpa1,0.0011230724350152744,-0.6072520768955378,1.0,0.0,0.6072520768955378,1.0
ENSMUSG00000092083,Kcnb2,0.10669188132645106,1.6457286642743338,0.00039985126380352883,0.0319966503884514,-1.6457286642743338,0.00039985126380352883
ENSMUSG00000025925,Terf1,0.06102026896916324,0.16533742700139076,0.8901870499718916,0.052565925638170155,-0.16533742700139076,0.8901870499718916
ENSMUSG00000032719,Sbspon,0.0026205023483689737,-2.4146069989531416,0.03225058787970401,0.01371285016647917,2.4146069989531416,0.03225058787970401
ENSMUSG00000067795,4930444P10Rik,0.0018717873916921238,-2.3442176710617417,0.1708848089994476,0.009141900110986114,2.3442176710617417,0.1708848089994476
ENSMUSG00000043716,Rpl7,2.06046356077469,-0.4981378422086751,0.0502951587158849,2.9139806603768235,0.4981378422086751,0.0502951587158849
ENSMUSG00000025921,Rdh10,0.06176898392584009,-1.1629499831114987,0.0008214625010306964,0.1371285016647917,1.1629499831114987,0.0008214625010306964
ENSMUSG00000025920,Stau2,0.6102026896916324,0.8646166449799829,0.004530388713251596,0.33367935405099314,-0.8646166449799829,0.004530388713251596
ENSMUSG00000025939,Ube2w,0.5098748854969346,0.8395334852475855,0.007211138997097634,0.2833989034405695,-0.8395334852475855,0.007211138997097634
ENSMUSG00000079658,Eloc,1.3802560226337721,0.4372398423504835,0.1856322620376088,1.0193218623749516,-0.4372398423504835,0.1856322620376088
ENSMUSG00000025940,Tmem70,0.4398700370476491,0.6266359832787407,0.06374516470034988,0.2833989034405695,-0.6266359832787407,0.06374516470034988
ENSMUSG00000025779,Ly96,0.017594801481905963,-0.022289576174380876,1.0,0.0159983251942257,0.022289576174380876,1.0
ENSMUSG00000042686,Jph1,0.08984579480122194,-0.21792469672258807,0.7183685559687868,0.10284637624859377,0.21792469672258807,0.7183685559687868
ENSMUSG00000025777,Gdap1,0.510249242975273,0.9990209300710315,0.0011691210692800441,0.25368772807986467,-0.9990209300710315,0.0011691210692800441
ENSMUSG00000099899,Gm28784,0.0026205023483689737,0.39274792310446216,0.8459219300310895,0.0,-0.39274792310446216,0.8459219300310895
ENSMUSG00000067780,Pi15,0.0,-4.192214577616694,0.07844617019810422,0.004570950055493057,4.192214577616694,0.07844617019810422
ENSMUSG00000100053,Gm28154,0.0022461448700305487,0.20010284516206767,1.0,0.0,-0.20010284516206767,1.0
ENSMUSG00000085125,Gm16070,0.0011230724350152744,-0.6072520768955378,1.0,0.0,0.6072520768955378,1.0
ENSMUSG00000025776,Crispld1,0.01946658887359809,-0.20125971721969993,1.0,0.020569275249718754,0.20125971721969993,1.0
ENSMUSG00000109887,Gm28756,0.005615362175076371,1.392747923104463,0.4935541395127365,0.0,-1.392747923104463,0.4935541395127365
ENSMUSG00000089787,Gm15825,0.0007487149566768495,-1.02228957617438,1.0,0.0,1.02228957617438,1.0
ENSMUSG00000025927,Tfap2b,0.0026205023483689737,-0.6072520768955378,1.0,0.0022854750277465285,0.6072520768955378,1.0
ENSMUSG00000099906,Gm28653,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000041872,Il17f,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000041859,Mcm3,0.011230724350152743,-1.2380182672298181,0.15451406417165206,0.025140225305211813,1.2380182672298181,0.15451406417165206
