Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.010006166404041039,0.5977916057879966,0.5494880290454103,0.002496764485506753,-1.0005206329152818,0.49378827235173833,0.008202568727706727,0.09524087845593066,1.0
ENSMUSG00000102331,Gm19938,0.004288357030303302,-1.054285090791697,0.3234689805850868,0.004993528971013506,0.2518665287190043,1.0,0.011483596218789416,1.4488778330706316,0.31168816005870936
ENSMUSG00000025902,Sox17,0.028112562754210535,-0.3953220086267635,0.5229528995586654,0.027464409340574283,-0.08693538473275453,1.0,0.042653357384074976,0.6389807164505736,0.3899185312806777
ENSMUSG00000033845,Mrpl15,0.3240091978451384,-0.1584739410636682,0.5924205657952224,0.2546699775216888,-0.4417756529304353,0.29388518725747087,0.4314551150773738,0.46536595585920026,0.11945145963193234
ENSMUSG00000025903,Lypla1,0.2763607863973239,-0.33132235602446536,0.17824335496175503,0.2796376223767563,-0.10493426784207083,0.9778050380960627,0.3920827851843815,0.5040193872630923,0.08129404360936533
ENSMUSG00000033813,Tcea1,0.5298503352996968,0.12637357223556944,0.7171077090443435,0.4793787812172966,-0.11567836608099624,0.9337615750599093,0.48887309617132085,-0.09199208346735432,0.9970233828467839
ENSMUSG00000002459,Rgs20,0.2539660330168511,0.7026300927187541,0.0036422448182822837,0.18226380744199297,-0.3076427930272376,0.5607058156819958,0.137803154625473,-0.8023214363261926,0.013353656026550672
ENSMUSG00000033793,Atp6v1h,1.458994358532079,0.3868932084084671,0.065243607350651,0.8114484577896948,-0.8131576753329449,0.0064098132969665515,1.315692023924159,-0.04312164802309659,1.0
ENSMUSG00000025905,Oprk1,0.02954201509764497,0.27913864293349544,0.7058295148879973,0.014980586913040519,-0.7781282115788324,0.40006678979654375,0.029529247419744213,0.17324339045720372,1.0
ENSMUSG00000033774,Npbwr1,0.006194293488215881,1.1681073305447498,0.38208037221092467,0.0,-1.2456331307518118,0.48315481458299464,0.0032810274910826903,-0.18855208754466002,1.0
